resourceinstanceidfrom,relationshiptype,resourceinstanceidto,dateended,notes
d71ae8ed-7c59-4103-99cc-0a4147b16554,http://www.cidoc-crm.org/cidoc-crm/P67,72d62576-5888-403a-ac19-7aad8ced0bd2,,
60e925a6-00d1-47aa-b72c-7e246c1bc922,http://www.cidoc-crm.org/cidoc-crm/P67,72d62576-5888-403a-ac19-7aad8ced0bd2,,
de960247-a0a4-412b-b925-8d56070ce8b9,http://www.cidoc-crm.org/cidoc-crm/P67,72d62576-5888-403a-ac19-7aad8ced0bd2,,
41b8a110-21ac-4174-bb46-515f7154d133,http://www.cidoc-crm.org/cidoc-crm/P67,72d62576-5888-403a-ac19-7aad8ced0bd2,,
dbacb4f2-ac04-4af2-86b4-d3df5a5b6ea8,http://www.cidoc-crm.org/cidoc-crm/P67,72d62576-5888-403a-ac19-7aad8ced0bd2,,
271402f9-b7a9-4cc9-ba92-05eab4e31266,http://www.cidoc-crm.org/cidoc-crm/P67,72d62576-5888-403a-ac19-7aad8ced0bd2,,
1695f50b-20e0-44de-82ab-f5c29c9b5222,http://www.cidoc-crm.org/cidoc-crm/P67,72d62576-5888-403a-ac19-7aad8ced0bd2,,
1cf5f13f-8671-4305-a86f-9dfbd6810698,http://www.cidoc-crm.org/cidoc-crm/P67,72d62576-5888-403a-ac19-7aad8ced0bd2,,
1cf5f13f-8671-4305-a86f-9dfbd6810698,http://www.cidoc-crm.org/cidoc-crm/P67,9f20ae48-79d1-4f34-b127-e22fe1c4cbd5,,
7f7d5fcb-62b5-47ef-a245-df3d9c15acfa,http://www.cidoc-crm.org/cidoc-crm/P67,72d62576-5888-403a-ac19-7aad8ced0bd2,,
d4b1b000-8d6b-4f51-b529-9084c95a88c2,http://www.cidoc-crm.org/cidoc-crm/P67,72d62576-5888-403a-ac19-7aad8ced0bd2,,
6a58d756-d368-4760-bc98-a6b676ac3898,http://www.cidoc-crm.org/cidoc-crm/P67,72d62576-5888-403a-ac19-7aad8ced0bd2,,
d7cde39f-d30e-47e4-97d0-e8c6ea5d9b91,http://www.cidoc-crm.org/cidoc-crm/P67,72d62576-5888-403a-ac19-7aad8ced0bd2,,
78aec80a-c297-4001-aa61-b48ac72e3a85,http://www.cidoc-crm.org/cidoc-crm/P67,72d62576-5888-403a-ac19-7aad8ced0bd2,,
0eca7c72-2e31-4074-aa05-b973708da0f4,http://www.cidoc-crm.org/cidoc-crm/P67,72d62576-5888-403a-ac19-7aad8ced0bd2,,
f46cf5c9-91e5-4313-9ad7-c03971a747f1,http://www.cidoc-crm.org/cidoc-crm/P67,72d62576-5888-403a-ac19-7aad8ced0bd2,,
91f4b229-f157-4644-8bca-df4a844e026b,http://www.cidoc-crm.org/cidoc-crm/P67,23851b3f-8368-425e-abaf-6a5449053a86,,
91f4b229-f157-4644-8bca-df4a844e026b,http://www.cidoc-crm.org/cidoc-crm/P67,330d52b2-ca7c-4d6a-8e59-51e56548662c,,
91f4b229-f157-4644-8bca-df4a844e026b,http://www.cidoc-crm.org/cidoc-crm/P67,d80c72ed-b726-4fbf-b032-b7c0ae65ac86,,
91f4b229-f157-4644-8bca-df4a844e026b,http://www.cidoc-crm.org/cidoc-crm/P67,8d11f39a-44c7-4347-b27c-ffd641ffe95f,,
91f4b229-f157-4644-8bca-df4a844e026b,http://www.cidoc-crm.org/cidoc-crm/P67,73b57354-0801-46e4-a8ea-a54c699ae939,,
91f4b229-f157-4644-8bca-df4a844e026b,http://www.cidoc-crm.org/cidoc-crm/P67,1064537b-3b56-4d79-90c8-8607ed255e51,,
91f4b229-f157-4644-8bca-df4a844e026b,http://www.cidoc-crm.org/cidoc-crm/P67,4b3f583d-cece-4d02-adee-64de3dabac8c,,
91f4b229-f157-4644-8bca-df4a844e026b,http://www.cidoc-crm.org/cidoc-crm/P67,a8241fc8-d470-45b5-962f-07471e124ed1,,
91f4b229-f157-4644-8bca-df4a844e026b,http://www.cidoc-crm.org/cidoc-crm/P67,b4a44861-6897-485c-a61f-73f38452352f,,
